SL. NO.,ADDRESS,COUNTRY,STATE,CITY,TIMEZONE,ping_delay_time,last_router_delay,traceroute_steps,traceroute_time,total_delay,minimum_rtt,maximum_rtt,average_rtt,time_to_live,latitude,longitude
171,117.217.56.15,India,Odisha,Bhubaneswar,Asia/Calcutta,68.232,6.489,7.0,25.949,43.271,37.618,50.923,45.535,61.0,20.288,85.8234
172,59.88.193.78,India,Karnataka,Bengaluru,Asia/Calcutta,67.8,4.498,6.0,23.537,38.209,31.222,46.524,39.505,53.0,12.8974,77.6708
173,117.199.202.215,India,Odisha,Bhubaneswar,Asia/Calcutta,69.1,8.89,6.0,25.325,39.15,35.08,50.261,41.057,83.0,20.2572,85.7993
174,117.197.54.39,India,Uttar Pradesh,Ballia,Asia/Calcutta,68.425,8.62,6.0,25.734,39.647,34.648,47.731,41.801,92.0,25.7581,84.13
175,117.251.38.150,India,Tamil Nadu,Vellore,Asia/Calcutta,69.055,7.975,6.0,25.721,42.068,36.197,47.343,40.366,74.0,12.9161,79.1155
176,117.204.128.232,India,Kerala,Kottayam,Asia/Calcutta,67.68,8.211,7.0,25.597,43.454,37.793,58.271,46.749,80.0,9.5867,76.5062
177,210.212.167.141,India,Goa,Vasco Da Gama,Asia/Calcutta,68.998,9.239,6.0,25.534,37.617,34.449,42.807,37.468,124.0,15.44,73.83
178,117.208.70.38,India,Haryana,Karnal,Asia/Calcutta,66.691,3.938,6.0,23.437,34.571,26.83,42.596,36.514,104.0,29.6833,76.9833
179,210.212.232.245,India,Tamil Nadu,Thrissur,Asia/Calcutta,66.032,7.181,6.0,21.044,39.778,35.98,54.291,47.046,122.0,10.5195,76.1667
180,59.92.185.145,India,Tamil Nadu,Kuzhithurai,Asia/Calcutta,69.478,8.192,6.0,24.826,36.22,30.557,46.208,39.855,104.0,8.1833,77.25
181,117.212.94.43,India,Rajasthan,Jaipur,Asia/Calcutta,70.098,10.727,6.0,27.984,44.01,39.46,50.269,43.491,79.0,26.9153,75.8122
182,210.212.97.243,India,Rajasthan,Jaipur,Asia/Calcutta,65.854,5.362,6.0,27.014,38.674,35.53,49.331,44.105,121.0,26.9195,75.8594
183,117.239.233.18,India,Andhra Pradesh,Ernakulam,Asia/Calcutta,69.207,7.652,6.0,26.138,39.231,31.469,49.167,39.459,127.0,9.9681,76.3096
184,117.200.4.110,India,Telangana,Hyderabad,Asia/Calcutta,71.559,3.905,6.0,21.257,40.181,36.027,50.404,44.542,98.0,17.5114,92.1395
185,117.213.164.0,India,Karnataka,Bengaluru,Asia/Calcutta,69.665,8.993,6.0,24.798,40.191,36.078,49.355,40.788,50.0,12.8122,77.6193
186,117.222.94.76,India,Maharashtra,Mumbai,Asia/Calcutta,65.449,8.38,7.0,22.979,41.007,35.065,47.311,43.129,70.0,19.0583,72.8855
187,117.203.199.231,India,Haryana,Faridabad,Asia/Calcutta,66.591,7.487,7.0,21.726,38.617,34.473,51.675,42.865,119.0,28.3996,77.3109
188,117.202.68.229,India,Tamil Nadu,Kanniyakumari,Asia/Calcutta,66.118,7.51,7.0,21.928,41.671,37.477,55.97,47.953,99.0,8.0833,77.5667
189,117.237.239.123,India,Meghalaya,Shillong,Asia/Calcutta,69.468,9.08,7.0,26.687,42.813,39.383,53.501,46.596,57.0,25.5276,91.9339
190,117.249.149.86,India,Telangana,Hyderabad,Asia/Calcutta,69.326,9.343,6.0,25.918,38.035,30.282,47.936,40.47,122.0,22.5928,91.853
191,59.97.83.29,India,Rajasthan,Jaipur,Asia/Calcutta,64.83,7.437,7.0,23.71,36.077,31.299,44.779,39.24,78.0,26.8897,75.7096
192,117.199.78.84,India,Manipur,Imphal,Asia/Calcutta,64.471,3.759,6.0,22.881,39.394,34.341,48.345,42.576,90.0,24.8047,93.93
193,59.88.103.139,India,Chhattisgarh,Bhilai,Asia/Calcutta,68.691,9.711,7.0,26.188,43.772,36.783,49.974,44.995,91.0,21.2083,81.3194
194,117.199.197.96,India,Odisha,Sambalpur,Asia/Calcutta,67.838,7.913,7.0,24.794,40.025,32.175,54.933,44.813,122.0,21.4675,83.9775
195,61.3.221.143,India,Kerala,Nilambur,Asia/Calcutta,66.47,5.919,6.0,23.316,39.363,32.79,51.713,41.071,118.0,11.3076,76.5339
196,117.242.86.41,India,Kerala,Kochi,Asia/Calcutta,70.429,8.976,6.0,26.311,37.889,30.069,46.42,39.147,117.0,9.9446,76.353
197,117.207.68.168,India,Rajasthan,Alwar,Asia/Calcutta,69.405,7.7,6.0,23.888,36.0,30.617,42.635,34.801,88.0,27.5583,76.6353
198,117.217.99.114,India,Maharashtra,Pune,Asia/Calcutta,66.786,4.723,6.0,22.897,40.803,37.063,51.737,43.444,125.0,18.6255,74.0277
199,117.207.182.92,India,Rajasthan,Alwar,Asia/Calcutta,66.52,6.331,6.0,24.947,38.949,35.685,47.24,40.979,111.0,27.5635,76.6345
200,61.2.141.51,India,Tamil Nadu,Chengalpattu,Asia/Calcutta,69.926,9.53,7.0,26.028,39.647,34.215,46.636,40.648,99.0,12.2283,79.9783
201,59.92.182.84,India,Tamil Nadu,Kuzhithurai,Asia/Calcutta,70.928,9.953,7.0,27.033,45.322,39.347,59.157,49.73,112.0,8.1873,77.2395
202,117.233.16.202,India,Jharkhand,Ranchi,Asia/Calcutta,68.311,4.706,6.0,22.361,41.188,36.971,55.159,45.209,128.0,23.3441,85.3096
203,117.205.244.133,India,Kerala,Kozhikode,Asia/Calcutta,68.986,7.61,6.0,23.644,42.488,38.23,55.524,45.461,128.0,11.2798,75.8314
204,117.242.131.230,India,Karnataka,Hamirpur,Asia/Calcutta,67.861,6.005,7.0,24.348,37.885,31.023,52.186,43.595,50.0,32.0667,76.5667
205,117.197.14.107,India,Bihar,Siwan,Asia/Calcutta,64.736,7.329,7.0,24.679,41.865,35.086,50.889,44.444,99.0,26.022,84.358
206,117.212.109.122,India,Punjab,Kotkapura,Asia/Calcutta,70.977,4.375,6.0,21.823,37.356,31.74,48.708,39.406,73.0,30.8,74.95
207,59.95.6.206,India,Gujarat,Valsad,Asia/Calcutta,67.506,8.751,6.0,25.136,42.01,35.241,48.514,43.363,69.0,20.6167,72.9333
208,117.192.36.168,India,Karnataka,Bengaluru,Asia/Calcutta,70.878,5.714,6.0,21.776,35.774,31.346,48.895,41.355,75.0,12.8948,77.7698
209,117.225.31.155,India,Rajasthan,Jaipur,Asia/Calcutta,70.279,7.971,6.0,23.792,41.53,34.063,50.086,42.496,56.0,26.8843,75.8493
210,59.98.17.28,India,Jharkhand,Jamshedpur,Asia/Calcutta,66.515,8.181,7.0,22.812,42.451,38.988,53.383,44.314,97.0,22.8307,86.2075
211,117.208.68.75,India,Punjab,Mansa,Asia/Calcutta,65.334,5.8,6.0,22.874,40.421,32.568,46.1,40.802,120.0,29.97,75.04
212,117.248.149.110,India,Nagaland,Dimapur,Asia/Calcutta,67.47,8.443,7.0,25.09,41.016,37.474,52.096,46.158,65.0,25.9048,93.7218
213,117.193.83.238,India,Kerala,Kochi,Asia/Calcutta,68.786,4.9,6.0,24.231,36.641,32.142,49.86,41.401,66.0,9.9937,76.252
214,2001:4490:4eb9:4e87:436:6c92:862d:6b6a,India,Union Territory of Puducherry,Puducherry,Asia/Calcutta,69.14,7.053,6.0,22.352,35.107,27.9,42.383,33.789,66.0,11.9416,79.8083
215,117.193.87.235,India,Kerala,Kochi,Asia/Calcutta,67.555,7.856,6.0,24.538,38.538,34.233,48.52,39.846,107.0,9.943,76.161
216,61.1.136.89,India,Andhra Pradesh,Peddapuram,Asia/Calcutta,71.416,11.238,7.0,28.011,39.839,36.491,49.157,44.218,98.0,17.3667,82.2333
217,117.217.99.102,India,Maharashtra,Pune,Asia/Calcutta,68.102,8.661,6.0,24.707,41.555,36.879,48.015,43.768,70.0,18.6784,73.6578
218,117.237.223.136,India,Arunachal Pradesh,Itanagar,Asia/Calcutta,68.136,8.352,6.0,26.82,42.266,37.351,55.254,46.984,107.0,27.1,93.6167
219,61.0.181.81,India,Chhattisgarh,Raipur,Asia/Calcutta,65.917,9.603,6.0,25.26,42.94,35.352,47.951,39.958,80.0,21.2514,81.6296
220,61.0.248.167,India,Tamil Nadu,Karur,Asia/Calcutta,69.169,5.365,6.0,20.659,36.368,31.478,49.115,40.22,92.0,10.96,78.08
221,117.242.210.28,India,Karnataka,Mysore,Asia/Calcutta,70.662,11.544,6.0,26.703,45.154,39.678,58.998,50.77,70.0,12.302,76.6591
222,117.217.99.5,India,Maharashtra,Pune,Asia/Calcutta,69.726,10.685,6.0,24.403,38.93,34.409,49.705,40.158,97.0,18.7599,73.622
223,117.242.108.88,India,Uttar Pradesh,Varanasi,Asia/Calcutta,67.431,5.33,6.0,25.191,39.083,33.22,51.838,42.305,119.0,25.3176,82.9739
224,117.237.195.6,India,Assam,Guwahati,Asia/Calcutta,64.834,8.185,7.0,21.58,35.805,31.317,42.298,35.735,61.0,26.1445,91.7362
225,117.207.180.151,India,Rajasthan,Alwar,Asia/Calcutta,65.957,4.803,7.0,23.877,39.273,34.376,49.489,41.097,54.0,27.5933,76.6566
226,61.2.198.7,India,Telangana,Hyderabad,Asia/Calcutta,67.144,8.503,6.0,21.319,34.655,28.291,39.842,32.983,86.0,18.6461,77.0057
227,117.218.45.162,India,- - -,- - -,Asia/Calcutta,69.315,9.961,7.0,21.831,39.432,35.313,53.081,45.994,53.0,13.0101,91.0706
228,117.194.10.159,India,Odisha,Balasore,Asia/Calcutta,73.658,10.846,6.0,28.154,45.643,42.59,55.455,47.715,78.0,21.4937,86.934
229,59.98.19.76,India,West Bengal,Kolkata,Asia/Calcutta,65.968,8.03,6.0,23.921,38.163,34.849,47.388,42.807,111.0,22.5794,88.2683
230,117.203.182.54,India,Punjab,Jalandhar,Asia/Calcutta,69.282,9.479,7.0,24.78,43.506,36.781,49.168,41.434,64.0,31.3119,75.5956
231,61.0.248.241,India,Uttarakhand,Kochi,Asia/Calcutta,69.568,8.12,7.0,24.758,43.512,37.365,51.087,46.19,128.0,9.8826,76.1187
232,59.88.212.125,India,Andhra Pradesh,Visakhapatnam,Asia/Calcutta,64.025,6.175,6.0,23.983,33.916,28.058,40.17,34.967,60.0,17.6708,83.2289
233,117.234.41.119,India,Uttar Pradesh,Lucknow,Asia/Calcutta,68.533,8.859,6.0,25.331,38.478,32.361,45.105,37.899,94.0,26.9022,80.9563
234,117.208.21.88,India,Kerala,Malappuram,Asia/Calcutta,68.64,7.331,6.0,24.213,35.662,27.721,43.059,35.071,69.0,11.0738,76.1062
235,117.211.58.63,India,Kerala,Kollam,Asia/Calcutta,70.03,10.248,7.0,23.31,41.954,35.288,53.604,42.865,60.0,8.9397,76.548
236,117.229.9.27,India,Maharashtra,Ahmedabad,Asia/Calcutta,65.853,8.589,7.0,24.83,36.891,33.84,51.069,42.115,88.0,22.9822,72.5813
237,103.225.12.114,India,Andhra Pradesh,Vijayawada,Asia/Calcutta,64.408,7.48,6.0,24.071,34.431,28.148,44.913,35.889,74.0,16.5063,80.648
238,117.198.156.229,India,Andhra Pradesh,Visakhapatnam,Asia/Calcutta,66.251,7.719,7.0,24.988,40.526,35.223,47.026,42.174,86.0,17.6629,83.2228
239,61.0.227.133,India,Uttarakhand,Nainital,Asia/Calcutta,72.23,10.865,6.0,27.438,42.044,36.974,56.703,46.88,98.0,29.3803,79.4636
240,117.228.207.52,India,Maharashtra,Jabalpur,Asia/Calcutta,67.731,4.626,6.0,24.868,41.154,35.008,54.573,44.853,58.0,23.1815,79.95
241,117.198.165.101,India,Kerala,Kozhikode,Asia/Calcutta,69.385,7.971,6.0,24.799,39.594,32.246,54.122,42.661,97.0,11.2122,75.7861
242,117.252.217.113,India,Kerala,Kozhikode,Asia/Calcutta,67.077,8.069,7.0,26.133,41.752,37.703,52.785,45.683,52.0,11.2129,75.7465
243,117.215.64.141,India,Punjab,Bela,Asia/Calcutta,64.36,6.165,6.0,21.376,32.782,28.164,41.772,35.455,94.0,25.5833,83.5
244,117.251.68.182,India,Punjab,Mukerian,Asia/Calcutta,68.317,9.935,6.0,28.034,43.122,38.23,51.034,45.869,52.0,31.9563,75.6168
245,117.213.41.198,India,Kerala,Palakkad,Asia/Calcutta,66.671,9.323,6.0,23.176,36.104,30.027,50.563,40.978,73.0,10.771,76.6257
246,117.254.34.189,India,Tamil Nadu,Chennai,Asia/Calcutta,69.696,8.763,7.0,27.104,44.289,38.285,57.53,48.362,125.0,13.1067,80.2727
247,117.216.166.140,India,Karnataka,Mysore,Asia/Calcutta,70.198,9.277,6.0,28.372,41.007,35.048,54.338,44.426,58.0,12.284,76.6179
248,117.202.69.152,India,Tamil Nadu,Kanniyakumari,Asia/Calcutta,67.566,8.079,7.0,25.709,41.225,37.096,49.559,44.056,78.0,8.0678,77.573
249,117.242.210.76,India,Tamil Nadu,Mysore,Asia/Calcutta,70.663,10.644,6.0,27.875,41.302,38.12,52.698,46.132,62.0,12.2973,76.6755
250,117.201.201.222,India,Kerala,Kozhikode,Asia/Calcutta,67.417,7.634,7.0,24.86,36.142,32.441,48.627,38.969,61.0,11.2548,75.881
251,117.242.225.102,India,Uttar Pradesh,Noida,Asia/Calcutta,70.912,10.15,6.0,28.174,41.673,35.266,47.359,40.868,94.0,28.5355,77.391
252,117.210.152.34,India,Uttarakhand,Dehradun,Asia/Calcutta,67.586,5.548,7.0,24.066,41.524,33.865,51.429,42.301,60.0,30.3165,78.0322
253,117.242.147.21,India,Assam,Guwahati,Asia/Calcutta,68.858,9.223,7.0,26.079,43.247,39.111,51.338,44.709,69.0,26.1565,91.7486
254,61.0.248.196,India,Kerala,Kochi,Asia/Calcutta,69.292,8.983,6.0,26.642,38.165,31.957,50.032,39.582,59.0,10.0326,76.3161
255,117.193.250.105,India,Tamil Nadu,Chennai,Asia/Calcutta,70.378,9.959,7.0,27.932,45.619,38.931,54.833,48.66,74.0,13.1279,80.3133
256,117.225.81.5,India,Maharashtra,Mumbai,Asia/Calcutta,65.777,5.028,7.0,24.42,35.032,27.859,48.108,38.69,115.0,19.1243,72.9347
257,61.2.9.205,India,Andhra Pradesh,Vijayawada,Asia/Calcutta,71.638,9.241,6.0,26.416,43.22,39.849,51.392,45.668,121.0,16.5145,80.6468
258,59.99.150.109,India,Uttar Pradesh,Lucknow,Asia/Calcutta,71.956,9.997,6.0,28.423,40.626,36.377,53.624,45.006,121.0,26.942,80.9526
259,117.210.203.32,India,Uttar Pradesh,Baraut,Asia/Calcutta,67.523,7.064,6.0,25.086,37.268,31.489,49.823,38.792,77.0,28.8503,77.2874
260,117.196.157.137,India,Union Territory of Puducherry,Puducherry,Asia/Calcutta,72.425,11.306,6.0,28.677,41.269,34.02,47.329,42.01,76.0,11.9522,79.8009
261,117.252.74.209,India,Andhra Pradesh,Tirupati,Asia/Calcutta,70.676,10.601,7.0,27.474,41.656,36.934,54.272,46.885,122.0,13.6288,79.4192
262,117.207.36.153,India,Kerala,Kochi,Asia/Calcutta,65.369,5.658,6.0,24.657,40.434,35.433,48.964,40.774,74.0,9.9303,76.0768
263,117.217.99.187,India,Maharashtra,Pune,Asia/Calcutta,64.85,7.152,7.0,21.25,36.835,32.92,48.234,38.952,60.0,18.7646,73.7024
264,117.202.196.131,India,Maharashtra,Pune,Asia/Calcutta,69.322,6.505,7.0,22.298,39.783,31.913,48.551,39.374,67.0,18.3295,73.8286
265,117.254.34.67,India,Karnataka,Bengaluru,Asia/Calcutta,69.517,8.854,7.0,27.775,43.885,39.45,50.101,43.335,75.0,12.9628,77.4522
266,117.211.10.16,India,Haryana,Jaipur,Asia/Calcutta,67.506,4.858,7.0,23.071,35.177,31.831,48.928,38.43,107.0,26.8027,75.7532
267,117.237.197.15,India,- - -,- - -,Asia/Calcutta,70.491,4.67,6.0,20.953,35.52,28.58,43.887,34.319,88.0,12.9617,74.7272
268,117.223.83.231,India,Kerala,Kozhikode,Asia/Calcutta,65.661,9.126,6.0,26.632,40.714,33.949,51.969,43.894,126.0,11.1697,75.5875
269,117.202.123.124,India,Kerala,Kochi,Asia/Calcutta,68.15,7.995,6.0,26.279,37.609,30.522,51.451,40.06,123.0,9.989,76.4175
270,117.193.1.232,India,Tamil Nadu,Chennai,Asia/Calcutta,70.698,10.957,7.0,26.037,42.582,37.623,57.263,48.493,96.0,12.9608,80.1464
271,117.208.222.9,India,Kerala,Kochi,Asia/Calcutta,64.804,5.748,6.0,26.904,41.052,35.05,46.214,41.426,110.0,10.0848,76.1347
272,117.192.218.185,India,Rajasthan,Jaipur,Asia/Calcutta,71.199,11.48,6.0,29.222,46.601,42.116,58.669,51.472,98.0,26.9351,75.7745
273,117.234.201.90,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,66.173,5.114,7.0,21.542,36.882,31.36,43.561,38.466,102.0,28.6707,77.3061
274,61.3.71.21,India,Kerala,Thrissur,Asia/Calcutta,64.654,7.527,6.0,25.252,34.548,26.841,42.228,35.642,65.0,10.563,76.162
275,117.200.31.233,India,Andhra Pradesh,Avanigadda,Asia/Calcutta,69.734,10.258,7.0,28.539,38.821,33.446,50.191,42.024,127.0,15.8711,80.9286
276,59.92.182.21,India,Kerala,Thiruvananthapuram,Asia/Calcutta,66.43,4.403,7.0,25.237,35.236,30.379,41.559,34.852,59.0,8.5379,76.9765
277,117.237.215.12,India,Bihar,- - -,Asia/Calcutta,67.745,8.555,7.0,22.636,38.562,30.82,51.127,39.1,73.0,34.8469,83.2688
278,117.224.68.95,India,Haryana,Rewari,Asia/Calcutta,68.73,8.136,6.0,26.687,40.154,35.007,46.484,39.628,85.0,28.1833,76.6167
279,61.0.248.158,India,Kerala,Kochi,Asia/Calcutta,70.336,9.921,7.0,27.483,45.073,39.195,52.872,45.592,124.0,9.8926,76.1405
280,117.249.136.87,India,Telangana,Hyderabad,Asia/Calcutta,68.315,8.426,7.0,25.624,36.42,29.119,43.122,35.602,56.0,9.4118,88.5849
281,59.98.25.218,India,Jharkhand,Jamshedpur,Asia/Calcutta,70.903,11.582,7.0,29.466,46.181,42.787,51.339,48.391,84.0,22.7578,86.2589
282,117.229.122.137,India,Maharashtra,Pune,Asia/Calcutta,67.988,8.462,6.0,22.797,42.537,35.299,54.118,43.997,127.0,18.5072,73.8094
283,117.248.149.14,India,Nagaland,Dimapur,Asia/Calcutta,69.622,10.244,6.0,27.523,44.013,40.086,57.222,48.19,90.0,25.9148,93.7022
284,117.213.37.41,India,Kerala,Thiruvananthapuram,Asia/Calcutta,74.404,6.965,6.0,28.635,39.23,33.232,50.548,42.48,126.0,8.5596,76.9273
285,117.255.216.100,India,Himachal Pradesh,Shimla,Asia/Calcutta,66.46,9.503,7.0,21.707,37.88,31.632,46.015,38.951,70.0,31.097,77.1619
286,103.199.182.3,India,Jharkhand,Dhanbad,Asia/Calcutta,69.512,9.433,6.0,26.606,43.056,36.348,56.422,48.245,72.0,23.7957,86.4375
287,59.97.174.168,India,Kerala,Chengannur,Asia/Calcutta,70.533,10.681,6.0,27.472,39.448,35.766,49.345,41.149,64.0,9.3944,76.6361
288,117.214.169.219,India,Uttar Pradesh,Lucknow,Asia/Calcutta,66.518,8.13,6.0,26.281,41.572,36.192,52.923,45.649,125.0,26.8883,80.9736
289,61.0.248.116,India,Uttarakhand,Nainital,Asia/Calcutta,65.971,7.051,7.0,24.545,42.003,34.561,53.207,43.67,57.0,29.3871,79.4656
290,117.244.253.148,India,- - -,- - -,Asia/Calcutta,67.539,8.196,6.0,26.354,38.712,34.202,44.298,38.547,96.0,10.4641,68.9976
291,61.0.248.10,India,Uttarakhand,Nainital,Asia/Calcutta,67.612,9.514,7.0,27.616,43.46,38.141,54.582,47.692,110.0,29.4052,79.4609
292,59.97.20.39,India,Karnataka,Bengaluru,Asia/Calcutta,63.824,5.386,6.0,25.254,35.942,28.913,44.259,35.632,98.0,13.1566,77.462
293,117.199.191.97,India,Rajasthan,Jaipur,Asia/Calcutta,70.734,10.329,7.0,27.491,43.399,39.341,48.909,44.751,83.0,26.7561,75.9589
294,117.213.220.192,India,Andhra Pradesh,Vijayawada,Asia/Calcutta,65.537,5.134,7.0,27.343,41.878,37.359,47.23,42.742,106.0,16.545,80.6656
295,117.248.149.62,India,Jharkhand,Jamshedpur,Asia/Calcutta,70.121,10.612,6.0,28.077,39.599,36.094,44.722,40.385,71.0,22.8541,86.1469
296,117.248.149.119,India,Jharkhand,Jamshedpur,Asia/Calcutta,71.771,8.326,6.0,24.52,38.064,33.333,47.026,38.782,93.0,22.722,86.1608
297,117.210.162.8,India,Punjab,Mohali,Asia/Calcutta,68.829,11.587,7.0,30.02,44.941,37.169,53.206,45.748,52.0,30.7046,76.7179
298,117.212.20.126,India,Rajasthan,Jodhpur,Asia/Calcutta,69.84,9.874,7.0,21.539,38.844,31.092,50.919,40.011,62.0,26.2389,73.0243
299,117.203.182.221,India,Jharkhand,Jamshedpur,Asia/Calcutta,66.77,7.515,7.0,26.008,35.747,28.156,44.315,34.312,119.0,22.9242,86.2255
300,117.200.31.163,India,Andhra Pradesh,Rajahmundry,Asia/Calcutta,67.757,8.331,6.0,24.368,42.377,36.081,50.475,41.904,55.0,17.0045,81.77
301,117.237.205.21,India,West Bengal,Kolkata,Asia/Calcutta,69.328,10.769,7.0,25.074,37.115,30.836,46.467,36.911,73.0,22.6834,88.3125
302,59.98.140.225,India,Karnataka,Bengaluru,Asia/Calcutta,64.918,7.516,7.0,20.684,40.457,36.577,46.201,41.054,68.0,12.8023,77.5677
303,61.3.172.139,India,Kerala,Thrissur,Asia/Calcutta,67.857,8.086,6.0,24.675,41.958,34.884,49.175,42.426,124.0,10.5687,76.3003
304,117.237.242.89,India,Bihar,Patna,Asia/Calcutta,72.457,11.238,6.0,29.293,43.631,40.444,54.528,45.963,89.0,25.5948,85.1376
305,117.209.209.146,India,Telangana,Hyderabad,Asia/Calcutta,70.103,7.372,6.0,25.873,37.132,31.123,48.392,39.732,109.0,11.0042,85.8482
306,117.222.12.159,India,Maharashtra,Nagpur,Asia/Calcutta,65.247,5.166,7.0,22.135,37.542,33.43,47.609,39.949,81.0,17.1673,95.3076
307,59.92.235.215,India,Tamil Nadu,Chennai,Asia/Calcutta,71.791,9.941,6.0,25.473,42.251,36.604,49.719,44.2,88.0,12.9295,80.2528
308,117.212.244.176,India,Maharashtra,Pune,Asia/Calcutta,71.629,9.933,6.0,29.721,46.411,39.969,59.9,49.986,60.0,18.8205,74.1629
309,117.217.99.126,India,Maharashtra,Pune,Asia/Calcutta,64.166,7.257,7.0,22.369,33.89,27.775,40.488,33.418,122.0,18.7181,74.072
310,117.237.207.211,India,West Bengal,Kolkata,Asia/Calcutta,65.136,5.147,6.0,25.688,35.629,32.487,44.417,38.422,85.0,22.6759,88.4413
311,117.233.88.20,India,National Capital Territory of Delhi,New Delhi,Asia/Calcutta,70.827,9.047,6.0,26.42,39.714,33.362,45.824,41.335,93.0,28.6853,77.1672
312,117.222.169.5,India,Kerala,Kozhikode,Asia/Calcutta,67.442,5.741,6.0,25.82,42.717,39.653,51.804,47.116,97.0,11.2329,75.6961
313,59.93.162.168,India,Manipur,Bishnupur,Asia/Calcutta,70.087,10.924,7.0,25.71,37.818,33.74,45.697,40.902,128.0,23.2676,87.2966
314,117.200.210.211,India,Gujarat,Ahmedabad,Asia/Calcutta,69.008,8.89,7.0,26.362,43.746,38.193,55.598,48.351,82.0,22.9465,72.5311
315,117.233.98.167,India,Maharashtra,Mumbai,Asia/Calcutta,67.304,7.89,7.0,20.866,38.119,33.732,46.494,40.06,50.0,19.0278,72.9224
316,103.199.182.197,India,Jharkhand,Dhanbad,Asia/Calcutta,71.528,11.261,6.0,27.895,46.065,39.085,51.467,46.023,111.0,23.7854,86.4523
317,61.2.29.204,India,Uttar Pradesh,Lucknow,Asia/Calcutta,70.528,7.683,6.0,23.742,39.856,31.96,53.246,41.669,60.0,26.8073,80.9384
318,117.214.9.81,India,Assam,Cuttack,Asia/Calcutta,66.516,8.737,6.0,22.98,37.835,32.075,52.73,42.707,100.0,20.4464,85.8828
319,117.236.184.9,India,Karnataka,Raichur,Asia/Calcutta,72.089,12.249,6.0,27.848,42.403,36.042,55.22,44.256,107.0,16.205,77.358
320,117.248.149.95,India,Nagaland,Dimapur,Asia/Calcutta,66.109,7.753,6.0,23.181,34.669,30.415,48.532,40.716,92.0,25.8676,93.6956
321,117.213.240.103,India,Karnataka,Hubli,Asia/Calcutta,65.371,5.677,6.0,21.234,35.618,28.367,45.411,37.621,80.0,15.3647,75.1375
322,61.3.124.241,India,Tamil Nadu,Chennai,Asia/Calcutta,69.748,7.861,7.0,27.062,42.717,37.424,49.661,43.592,101.0,13.1132,80.3302
323,61.0.248.149,India,Uttarakhand,Nainital,Asia/Calcutta,71.416,10.064,6.0,28.916,42.066,36.372,57.042,45.891,122.0,29.4141,79.4269
324,117.222.168.64,India,Kerala,Kozhikode,Asia/Calcutta,66.65,6.891,6.0,22.97,37.217,29.95,45.353,39.105,53.0,11.3813,75.65
325,59.95.6.81,India,Gujarat,Mumbai,Asia/Calcutta,69.859,8.606,6.0,24.763,42.989,39.686,55.496,48.941,109.0,19.1152,72.7941
326,117.199.67.53,India,Manipur,Imphal,Asia/Calcutta,69.366,9.813,6.0,26.538,45.005,40.325,58.014,48.564,93.0,24.8077,93.9681
327,117.213.214.70,India,Telangana,Hyderabad,Asia/Calcutta,72.952,10.896,6.0,26.96,41.799,36.893,51.086,45.562,98.0,32.6572,77.3455
328,59.98.19.252,India,Jharkhand,Jamshedpur,Asia/Calcutta,69.517,9.577,6.0,27.117,41.869,35.758,51.836,41.974,123.0,22.7725,86.3081
329,59.96.37.185,India,Kerala,Kochi,Asia/Calcutta,67.344,7.805,6.0,26.565,40.369,34.358,45.881,40.172,59.0,10.0503,76.0478
330,61.0.248.154,India,Kerala,Kochi,Asia/Calcutta,70.206,9.533,7.0,25.922,38.651,32.74,49.979,41.888,62.0,9.7183,76.5234
331,117.223.124.64,India,Gujarat,Rajkot,Asia/Calcutta,67.547,8.623,6.0,21.222,38.945,32.895,44.338,40.152,82.0,22.3039,70.8022
332,59.90.247.45,India,Tamil Nadu,Chennai,Asia/Calcutta,74.997,10.347,6.0,29.489,43.536,37.868,55.738,45.129,89.0,13.214,80.2981
333,61.0.200.25,India,Tamil Nadu,Karur,Asia/Calcutta,65.917,8.881,7.0,26.392,42.586,39.023,56.369,45.809,101.0,10.9527,78.0848
334,117.234.130.89,India,Uttar Pradesh,Kanpur,Asia/Calcutta,69.842,9.824,6.0,28.558,41.727,38.702,50.983,45.229,95.0,26.3913,80.3168
335,117.233.82.28,India,Maharashtra,Mumbai,Asia/Calcutta,68.998,8.8,6.0,22.784,39.452,33.461,44.931,40.396,75.0,18.9635,72.8316
336,117.230.182.17,India,Kerala,Thiruvananthapuram,Asia/Calcutta,70.441,9.659,6.0,27.133,40.715,33.282,49.473,39.856,60.0,8.473,76.9673
337,117.203.212.117,India,West Bengal,Kolkata,Asia/Calcutta,71.919,10.298,6.0,26.712,44.169,39.989,54.659,46.914,102.0,22.6068,88.4289
338,117.237.192.126,India,Assam,Guwahati,Asia/Calcutta,67.414,7.904,6.0,27.58,37.753,32.613,46.077,37.384,84.0,26.1598,91.7445
339,117.196.42.9,India,Tamil Nadu,Dindigul,Asia/Calcutta,68.044,7.842,6.0,23.767,35.788,27.992,49.513,38.137,67.0,10.4012,78.0193
340,117.230.47.11,India,Karnataka,Bengaluru,Asia/Calcutta,72.662,10.546,6.0,27.876,39.113,31.15,51.63,40.754,107.0,12.7639,77.4579
341,117.220.163.81,India,Uttar Pradesh,Moradabad,Asia/Calcutta,70.806,10.771,7.0,27.193,43.824,37.944,51.394,46.353,100.0,28.8389,78.7769
